Region,Local_date,Time zone,DF,D,NG,TI,Sum (NG),NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,Sum (Trade),Sum (Imports),Sum (Exports),CAN,MEX,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,Positive Gen from COL,Positive Gen from NG,Positive Gen from OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
US48,23Oct2015,Eastern,"9,859,993","9,903,202","9,832,351","-118,818",,,,,,,,,,,"-104,072","104,697",625,"-103,978",-94,,,,,,,,,,,,,,,,,,
US48,24Oct2015,Eastern,"9,166,938","9,208,086","9,139,171","-112,781",,,,,,,,,,,"-107,300","108,084",784,"-106,740",-560,,,,,,,,,,,,,,,,,,
US48,25Oct2015,Eastern,"8,856,015","8,876,590","8,803,015","-116,724",,,,,,,,,,,"-104,306","104,840",534,"-103,840",-466,,,,,,,,,,,,,,,,,,
US48,26Oct2015,Eastern,"9,666,781","9,727,132","9,649,303","-102,975",,,,,,,,,,,"-98,320","99,550","1,230","-98,358",38,,,,,,,,,,,,,,,,,,
US48,27Oct2015,Eastern,"9,817,777","9,918,754","9,838,680","-123,372",,,,,,,,,,,"-117,045","118,092","1,047","-117,177",132,,,,,,,,,,,,,,,,,,
US48,28Oct2015,Eastern,"9,876,068","9,972,807","9,884,057","-119,812",,,,,,,,,,,"-114,597","115,342",745,"-113,432","-1,165",,,,,,,,,,,,,,,,,,
US48,29Oct2015,Eastern,"9,837,410","9,895,570","9,808,158","-151,310",,,,,,,,,,,"-119,509","120,387",878,"-119,135",-374,,,,,,,,,,,,,,,,,,
US48,30Oct2015,Eastern,"9,720,660","9,757,134","9,640,493","-129,796",,,,,,,,,,,"-121,732","122,190",458,"-120,493","-1,239",,,,,,,,,,,,,,,,,,
US48,31Oct2015,Eastern,"9,057,154","9,181,108","9,074,989","-144,735",,,,,,,,,,,"-128,090","128,328",238,"-126,821","-1,269",,,,,,,,,,,,,,,,,,
US48,01Nov2015,Eastern,"7,988,876","9,235,118","9,116,433","-201,414",,,,,,,,,,,"-148,188","148,315",127,"-145,134","-3,054",,,,,,,,,,,,,,,,,,
US48,02Nov2015,Eastern,"9,639,672","9,781,564","9,633,841","-152,704",,,,,,,,,,,"-133,231","133,361",130,"-130,596","-2,635",,,,,,,,,,,,,,,,,,
US48,03Nov2015,Eastern,"9,802,872","9,851,043","9,709,003","-173,161",,,,,,,,,,,"-143,835","143,981",146,"-141,663","-2,172",,,,,,,,,,,,,,,,,,
US48,04Nov2015,Eastern,"9,854,570","9,908,953","9,749,627","-183,251",,,,,,,,,,,"-140,374","140,582",208,"-138,820","-1,554",,,,,,,,,,,,,,,,,,
US48,05Nov2015,Eastern,"9,972,463","10,115,787","9,989,817","-159,636",,,,,,,,,,,"-139,233","139,518",285,"-137,632","-1,601",,,,,,,,,,,,,,,,,,
US48,06Nov2015,Eastern,"9,926,282","9,982,719","9,847,173","-167,044",,,,,,,,,,,"-147,250","147,746",496,"-145,251","-1,999",,,,,,,,,,,,,,,,,,
US48,07Nov2015,Eastern,"9,152,681","9,238,523","9,080,940","-183,610",,,,,,,,,,,"-155,947","156,350",403,"-153,115","-2,832",,,,,,,,,,,,,,,,,,
US48,08Nov2015,Eastern,"9,018,271","9,047,282","8,909,635","-165,281",,,,,,,,,,,"-145,978","146,237",259,"-142,004","-3,974",,,,,,,,,,,,,,,,,,
US48,09Nov2015,Eastern,"9,940,348","10,010,874","9,868,669","-179,130",,,,,,,,,,,"-152,988","153,624",636,"-150,045","-2,943",,,,,,,,,,,,,,,,,,
US48,10Nov2015,Eastern,"9,962,475","9,977,080","9,823,472","-185,050",,,,,,,,,,,"-160,934","161,190",256,"-159,132","-1,802",,,,,,,,,,,,,,,,,,
